No	Nama File	File ID	Status	Link Google Drive	Sumber
48	delivery_issue.png	1cv-af8Au3zSx5CJxirJuV-K_4XGBruLx	PUBLIC - VIEWER	https://drive.google.com/file/d/1cv-af8Au3zSx5CJxirJuV-K_4XGBruLx/view?usp=sharing	Direct File ID
49	Case timeline.png	1kxtKgxCx8g27b2q3G99EAtGOyDZ-2QrF	PUBLIC - VIEWER	https://drive.google.com/file/d/1kxtKgxCx8g27b2q3G99EAtGOyDZ-2QrF/view?usp=sharing	Direct File ID
50	bukti_tf_$385.jpg	1JKZ7OO0CmnpWlL1YY2RDLkLbT0QXfjId	PUBLIC - VIEWER	https://drive.google.com/file/d/1JKZ7OO0CmnpWlL1YY2RDLkLbT0QXfjId/view?usp=sharing	Direct File ID
51	bill_paypal_$1.95.jpg	1bleYEKs8WPFs9iR9jqiN0S8lS0YISE4W	PUBLIC - VIEWER	https://drive.google.com/file/d/1bleYEKs8WPFs9iR9jqiN0S8lS0YISE4W/view?usp=sharing	Direct File ID
52	All closed cases (1).png	19Blys_fyXaFQmEvCue5tthBFG95T_195	PUBLIC - VIEWER	https://drive.google.com/file/d/19Blys_fyXaFQmEvCue5tthBFG95T_195/view?usp=sharing	Direct File ID
53	5154-KODE_PayPal.jpeg	1RhpP15qfhybLPDrME-Hq3oSIUpIhM6-z	PUBLIC - VIEWER	https://drive.google.com/file/d/1RhpP15qfhybLPDrME-Hq3oSIUpIhM6-z/view?usp=sharing	Direct File ID
54	2026-08-03_142036.jpg	1-R49Oa1eA-gAg2PprICe1NSeRN4Fowb1	PUBLIC - VIEWER	https://drive.google.com/file/d/1-R49Oa1eA-gAg2PprICe1NSeRN4Fowb1/view?usp=sharing	Direct File ID
55	2026-08-03_135757 [2].jpg	1gLnuIn679zUR55MCL0NkMuNa7-g_Ucou	PUBLIC - VIEWER	https://drive.google.com/file/d/1gLnuIn679zUR55MCL0NkMuNa7-g_Ucou/view?usp=sharing	Direct File ID
56	2026-08-03_135757 [1].jpg	1WsQewk5J1SyLSE2OWDrWRbs5HmhShs7o	PUBLIC - VIEWER	https://drive.google.com/file/d/1WsQewk5J1SyLSE2OWDrWRbs5HmhShs7o/view?usp=sharing	Direct File ID
57	2026-07-29_173034.png	1THz-NXFJ4hjMoPpuezFEpfSnb0KH77oS	PUBLIC - VIEWER	https://drive.google.com/file/d/1THz-NXFJ4hjMoPpuezFEpfSnb0KH77oS/view?usp=sharing	Direct File ID
58	npwp_front_new.jpg	17kfDnDvswP5_YwMo8bLx9ukYjMkyrBvu	PUBLIC - VIEWER	https://drive.google.com/file/d/17kfDnDvswP5_YwMo8bLx9ukYjMkyrBvu/view?usp=sharing	Direct File ID
59	npwp_back_new.jpg	1s1cm-2cHV7FRxcOaCI1fer0bLb1BCSw8	PUBLIC - VIEWER	https://drive.google.com/file/d/1s1cm-2cHV7FRxcOaCI1fer0bLb1BCSw8/view?usp=sharing	Direct File ID
60	ktp_ika_Front.jpg	1X5dmRFdVXCchaS8zpAGe-i8Ar8hWySVY	PUBLIC - VIEWER	https://drive.google.com/file/d/1X5dmRFdVXCchaS8zpAGe-i8Ar8hWySVY/view?usp=sharing	Direct File ID
61	bni_ika2.jpeg	1wCQRON285bYCitVQkVoGX5tZAr0d-qTF	PUBLIC - VIEWER	https://drive.google.com/file/d/1wCQRON285bYCitVQkVoGX5tZAr0d-qTF/view?usp=sharing	Direct File ID
62	Versi_Pendek_1000_Karakter.txt	16TNkdk67mxST5esw5v23fb-HnRwctOf6	PUBLIC - VIEWER	https://drive.google.com/file/d/16TNkdk67mxST5esw5v23fb-HnRwctOf6/view?usp=sharing	Direct File ID
63	These payment methods do not allow transfers to fix a negative balance..jpg	16qvtvJZKVgxFHAfzmeF2uPxn0NCGrZsX	PUBLIC - VIEWER	https://drive.google.com/file/d/16qvtvJZKVgxFHAfzmeF2uPxn0NCGrZsX/view?usp=sharing	Direct File ID
64	Teks_Untuk_Di_Copy_Paste.txt	1YQRipJZXNMSCcBhZ8eJXuRSziFzI3LJB	PUBLIC - VIEWER	https://drive.google.com/file/d/1YQRipJZXNMSCcBhZ8eJXuRSziFzI3LJB/view?usp=sharing	Direct File ID
65	Fix your negative balance.jpg	1EaufWktsnrRnrdkjsMbf87-dQfXBSecv	PUBLIC - VIEWER	https://drive.google.com/file/d/1EaufWktsnrRnrdkjsMbf87-dQfXBSecv/view?usp=sharing	Direct File ID
66	Transaction details wbass.jpg	1TKIIOs1sSBCx__gX4gtPlgVSxojuu9kV	PUBLIC - VIEWER	https://drive.google.com/file/d/1TKIIOs1sSBCx__gX4gtPlgVSxojuu9kV/view?usp=sharing	Direct File ID
67	Pembayaran terkirim kepada wbass.jpg	1YkPIMoIEDF5kdCzA-IIMNnGpzejCkHvT	PUBLIC - VIEWER	https://drive.google.com/file/d/1YkPIMoIEDF5kdCzA-IIMNnGpzejCkHvT/view?usp=sharing	Direct File ID
68	konfirmasi diterima adakomputer.jpg	11-1OU7MLWHfvL0uTLBmHm5lQETd5UqEU	PUBLIC - VIEWER	https://drive.google.com/file/d/11-1OU7MLWHfvL0uTLBmHm5lQETd5UqEU/view?usp=sharing	Direct File ID
69	npwp_front_new.jpg	1LG8-Hv7xXh3vJcmq8VLDswqQ3mbPPyIh	PUBLIC - VIEWER	https://drive.google.com/file/d/1LG8-Hv7xXh3vJcmq8VLDswqQ3mbPPyIh/view?usp=sharing	Direct File ID
70	npwp_back_new.jpg	1HVVSSu0NhvRG61umV8DBNaWqt9kIxjHp	PUBLIC - VIEWER	https://drive.google.com/file/d/1HVVSSu0NhvRG61umV8DBNaWqt9kIxjHp/view?usp=sharing	Direct File ID
71	New Text Document.txt	1_RJL0XsyGWyRgGrCW2UmdT4qAMvXYt9y	PUBLIC - VIEWER	https://drive.google.com/file/d/1_RJL0XsyGWyRgGrCW2UmdT4qAMvXYt9y/view?usp=sharing	Direct File ID
72	Jago_kartu digital_History_08082026.pdf	1-2RxGIITKK1LN4tzuAfX-ytcEz-dnkLz	PUBLIC - VIEWER	https://drive.google.com/file/d/1-2RxGIITKK1LN4tzuAfX-ytcEz-dnkLz/view?usp=sharing	Direct File ID
